Mode,Start_Time,Animal,Weight,Unit,Pellets
5,2025-02-19 23:52:52.333300,196447011,14.36,1,0
5,2025-02-20 00:01:46.693656,19647144222,19.51,1,0
5,2025-02-19 23:54:54.716019,196447011,18.0,2,0
5,2025-02-20 00:01:59.545569,19647144222,20.54,2,0
5,2025-02-20 00:02:05.857982,19647144222,20.54,2,0
5,2025-02-20 00:02:07.582280,1102000232,21.31,2,0
5,2025-02-19 23:53:22.527611,19645246186,19.3,3,0
5,2025-02-20 00:02:07.788068,19647144222,29.99,2,0
5,2025-02-20 00:02:08.576236,19644148217,19.57,3,0
5,2025-02-20 00:02:10.243575,19644148217,19.57,3,0
5,2025-02-19 23:52:48.697249,19645246186,13.57,4,0
5,2025-02-20 00:02:51.999438,196447011,14.38,4,0
5,2025-02-20 00:02:54.484640,196447011,6.75,4,0
5,2025-02-20 00:02:56.389747,196447011,4.36,4,0
5,2025-02-20 00:03:02.130028,19647144222,15.29,4,0
5,2025-02-20 00:03:04.115587,19647144222,15.1,4,0
5,2025-02-20 00:03:13.540045,19647144222,14.52,4,0
5,2025-02-20 00:01:52.252820,19647144222,10.68,1,0
5,2025-02-20 00:03:41.117863,196447011,18.25,1,0
5,2025-02-20 00:03:42.382941,196447011,19.52,1,0
5,2025-02-20 00:03:46.103004,196447011,15.0,1,0
5,2025-02-20 00:03:52.365783,19644148217,19.47,1,0
5,2025-02-20 00:03:57.758645,19644148217,13.11,1,0
5,2025-02-20 00:05:48.706420,19645246186,18.71,1,0
5,2025-02-20 00:02:08.930342,19647144222,31.67,2,0
5,2025-02-20 00:06:13.727303,19645246186,20.19,2,0
5,2025-02-20 00:02:15.116910,19644148217,19.99,3,0
5,2025-02-20 00:06:36.266806,19645246186,19.26,3,0
5,2025-02-20 00:06:58.087919,19645246186,17.13,3,0
5,2025-02-20 00:06:59.395872,19645246186,11.73,3,0
5,2025-02-20 00:07:02.461110,19645246186,19.48,3,0
5,2025-02-20 00:10:55.183836,196447011,18.51,3,0
5,2025-02-20 00:10:57.660223,196447011,18.7,3,0
5,2025-02-20 00:05:57.406833,19645246186,18.89,1,0
5,2025-02-20 00:11:08.815308,19645246186,18.82,1,0
5,2025-02-20 00:11:05.184585,19647144222,19.65,3,6
5,2025-02-20 00:11:35.202130,19647144222,18.86,3,0
5,2025-02-20 00:11:38.668394,19647144222,19.95,3,1
5,2025-02-20 00:11:43.998243,19647144222,19.88,3,0
5,2025-02-20 00:11:47.082407,19647144222,19.59,3,0
5,2025-02-20 00:12:01.284178,19647144222,19.74,3,0
5,2025-02-20 00:12:07.137218,19647144222,15.78,3,1
5,2025-02-20 00:12:08.674083,19647144222,19.16,3,0
5,2025-02-20 00:12:14.167407,19647144222,20.43,3,0
5,2025-02-20 00:12:17.535754,19647144222,13.87,3,1
5,2025-02-20 00:12:19.335061,19647144222,19.69,3,0
5,2025-02-20 00:12:23.028937,19647144222,20.18,3,0
5,2025-02-20 00:12:24.815117,19647144222,19.88,3,2
5,2025-02-20 00:12:30.786114,19647144222,19.67,3,2
5,2025-02-20 00:12:43.466686,19647144222,19.92,3,1
5,2025-02-20 00:12:45.531839,19647144222,20.23,3,2
5,2025-02-20 00:12:52.586150,19647144222,20.18,3,0
5,2025-02-20 00:12:56.659256,19647144222,19.68,3,0
5,2025-02-20 00:17:37.070420,19645246186,19.35,3,0
5,2025-02-20 00:17:42.804254,19645246186,19.43,3,0
5,2025-02-20 00:21:57.261229,19645246186,19.22,3,0
